"Category","Stock","Date","Price","Open","High","Low","Vol.","Change.."
"Consumer Goods","Hindustan Unilever","18-11-2024","2,422.90","2,401.15","2,425.00","2,375.75","1.37M","1.41%"
"Consumer Goods","Hindustan Unilever","14-11-2024","2,389.20","2,460.40","2,464.70","2,383.70","2.44M","-3.07%"
"Consumer Goods","Hindustan Unilever","13-11-2024","2,464.95","2,462.10","2,472.80","2,450.40","1.26M","0.14%"
"Consumer Goods","Hindustan Unilever","12-11-2024","2,461.50","2,495.00","2,496.95","2,456.00","1.62M","-1.19%"
"Consumer Goods","Hindustan Unilever","11-11-2024","2,491.05","2,509.00","2,514.90","2,475.05","1.18M","-0.66%"
"Consumer Goods","Hindustan Unilever","08-11-2024","2,507.70","2,483.95","2,515.25","2,467.30","1.70M","1.30%"
"Consumer Goods","Hindustan Unilever","07-11-2024","2,475.50","2,500.70","2,509.90","2,466.10","1.32M","-1.01%"
"Consumer Goods","Hindustan Unilever","06-11-2024","2,500.70","2,515.20","2,522.10","2,495.00","1.22M","-0.42%"
"Consumer Goods","Hindustan Unilever","05-11-2024","2,511.35","2,510.01","2,520.22","2,497.06","702.05K","-0.14%"
"Consumer Goods","Hindustan Unilever","04-11-2024","2,514.79","2,536.90","2,536.90","2,493.57","1.10M","-0.50%"
"Consumer Goods","Hindustan Unilever","01-11-2024","2,527.44","2,533.86","2,535.85","2,501.39","118.53K","0.37%"
"Consumer Goods","Hindustan Unilever","31-10-2024","2,518.22","2,544.82","2,553.33","2,514.09","1.90M","-1.05%"
"Consumer Goods","Hindustan Unilever","30-10-2024","2,544.82","2,546.86","2,553.13","2,523.35","1.20M","0.29%"
"Consumer Goods","Hindustan Unilever","29-10-2024","2,537.55","2,575.45","2,575.45","2,525.94","1.70M","-1.09%"
"Consumer Goods","Hindustan Unilever","28-10-2024","2,565.58","2,533.91","2,579.33","2,510.10","852.83K","1.89%"
"Consumer Goods","Hindustan Unilever","25-10-2024","2,518.02","2,492.38","2,529.93","2,490.19","2.76M","0.92%"
"Consumer Goods","Hindustan Unilever","24-10-2024","2,495.17","2,636.50","2,636.50","2,442.87","9.22M","-5.80%"
"Consumer Goods","Hindustan Unilever","23-10-2024","2,648.75","2,610.60","2,682.37","2,610.60","1.43M","-0.84%"
"Consumer Goods","Hindustan Unilever","22-10-2024","2,671.06","2,674.45","2,699.25","2,663.15","1.27M","-0.44%"
"Consumer Goods","Hindustan Unilever","21-10-2024","2,682.87","2,704.23","2,727.14","2,669.82","792.35K","-0.87%"
"Consumer Goods","Hindustan Unilever","18-10-2024","2,706.32","2,727.79","2,729.13","2,682.77","1.14M","-0.79%"
