"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","11,093.95","10,950.00","11,182.95","10,915.00","333.44K","0.80%"
"14-11-2024","11,006.05","11,055.00","11,117.70","10,892.10","431.35K","-0.39%"
"13-11-2024","11,049.60","11,140.00","11,142.85","10,864.30","507.71K","-0.84%"
"12-11-2024","11,143.10","11,392.05","11,516.90","11,107.25","549.75K","-2.25%"
"11-11-2024","11,399.70","11,331.50","11,518.15","11,310.00","450.68K","0.86%"
"08-11-2024","11,303.00","11,260.50","11,344.00","11,125.60","269.99K","0.03%"
"07-11-2024","11,300.15","11,305.15","11,385.00","11,186.60","530.19K","-0.48%"
"06-11-2024","11,354.25","11,219.00","11,430.00","11,172.60","416.03K","1.65%"
"05-11-2024","11,170.10","11,042.00","11,275.00","11,011.90","321.16K","1.06%"
"04-11-2024","11,052.45","11,295.00","11,295.00","10,860.00","444.46K","-0.52%"
"01-11-2024","11,110.00","11,150.00","11,209.55","11,080.00","65.67K","0.30%"
"31-10-2024","11,076.45","11,225.00","11,247.55","11,050.00","838.21K","-1.60%"
"30-10-2024","11,256.45","10,979.00","11,520.00","10,945.00","1.67M","1.91%"
"29-10-2024","11,046.00","11,450.00","11,483.00","10,742.45","2.27M","-3.81%"
"28-10-2024","11,483.25","11,504.80","11,632.65","11,440.00","613.83K","-0.17%"
"25-10-2024","11,502.85","11,763.60","11,794.30","11,440.00","624.58K","-2.22%"
"24-10-2024","11,763.70","11,998.95","11,998.95","11,636.90","552.50K","-1.61%"
"23-10-2024","11,956.20","11,923.30","12,119.90","11,753.45","412.64K","0.28%"
"22-10-2024","11,923.30","12,215.95","12,289.80","11,840.00","904.90K","-2.07%"
"21-10-2024","12,175.90","12,145.55","12,250.00","11,944.55","375.28K","0.58%"
"18-10-2024","12,105.10","12,070.00","12,141.25","11,844.45","506.87K","-0.32%"
"17-10-2024","12,143.75","12,400.00","12,420.10","12,070.00","875.94K","-1.94%"
"16-10-2024","12,383.90","12,414.05","12,454.95","12,231.00","418.14K","-0.50%"
"15-10-2024","12,446.75","12,709.00","12,709.00","12,355.00","532.14K","-0.73%"
"14-10-2024","12,537.85","12,775.00","12,799.00","12,462.30","488.07K","-1.87%"
"11-10-2024","12,776.65","12,944.10","12,980.00","12,725.00","274.24K","-1.29%"
