"Category","Stock","Date","Price","Open","High","Low","Vol.","Change.."
"Automobile","Bajaj Auto","18-11-2024","9,516.50","9,459.05","9,603.00","9,435.85","292.52K","0.35%"
"Automobile","Bajaj Auto","14-11-2024","9,482.95","9,410.00","9,516.95","9,400.00","275.79K","0.33%"
"Automobile","Bajaj Auto","13-11-2024","9,452.15","9,678.70","9,710.00","9,416.10","494.12K","-2.34%"
"Automobile","Bajaj Auto","12-11-2024","9,678.70","9,900.00","9,999.00","9,662.00","316.61K","-2.43%"
"Automobile","Bajaj Auto","11-11-2024","9,919.35","9,850.05","10,032.90","9,800.00","359.77K","0.09%"
"Automobile","Bajaj Auto","08-11-2024","9,910.40","9,856.65","9,991.05","9,777.25","273.16K","0.55%"
"Automobile","Bajaj Auto","07-11-2024","9,856.65","10,070.60","10,079.80","9,789.95","473.41K","-1.64%"
"Automobile","Bajaj Auto","06-11-2024","10,020.50","9,883.40","10,054.00","9,848.80","514.05K","1.47%"
"Automobile","Bajaj Auto","05-11-2024","9,874.85","9,530.00","10,007.30","9,500.20","1.02M","3.67%"
"Automobile","Bajaj Auto","04-11-2024","9,525.55","9,896.50","9,896.50","9,365.00","1.13M","-3.55%"
"Automobile","Bajaj Auto","01-11-2024","9,875.95","9,905.00","9,950.00","9,838.80","53.76K","0.40%"
"Automobile","Bajaj Auto","31-10-2024","9,836.30","9,940.00","10,030.90","9,805.00","361.80K","-1.05%"
"Automobile","Bajaj Auto","30-10-2024","9,940.65","9,820.00","10,057.75","9,770.00","604.82K","0.91%"
"Automobile","Bajaj Auto","29-10-2024","9,850.85","10,073.95","10,073.95","9,640.00","1.10M","-1.60%"
"Automobile","Bajaj Auto","28-10-2024","10,011.25","10,206.10","10,292.75","9,985.00","340.77K","-1.91%"
"Automobile","Bajaj Auto","25-10-2024","10,206.10","10,300.00","10,368.20","9,925.00","644.77K","-0.94%"
"Automobile","Bajaj Auto","24-10-2024","10,302.50","10,504.00","10,593.45","10,210.00","653.42K","-2.68%"
"Automobile","Bajaj Auto","23-10-2024","10,586.75","10,368.00","10,735.10","10,342.45","1.32M","2.11%"
"Automobile","Bajaj Auto","22-10-2024","10,368.35","10,500.50","10,614.95","10,320.00","1.19M","-1.26%"
"Automobile","Bajaj Auto","21-10-2024","10,500.50","10,063.00","10,829.85","9,881.40","2.11M","4.34%"
"Automobile","Bajaj Auto","18-10-2024","10,063.95","10,049.55","10,149.10","9,841.10","1.54M","-0.55%"
"Automobile","Bajaj Auto","17-10-2024","10,119.45","11,222.20","11,287.35","10,071.00","3.67M","-12.89%"
"Automobile","Bajaj Auto","16-10-2024","11,616.95","11,537.90","11,680.00","11,381.15","504.60K","0.83%"
"Automobile","Bajaj Auto","15-10-2024","11,521.50","11,950.00","11,950.00","11,467.00","476.95K","-3.17%"
"Automobile","Bajaj Auto","14-10-2024","11,899.30","11,928.80","11,990.10","11,861.60","177.05K","0.19%"
"Automobile","Bajaj Auto","11-10-2024","11,876.95","11,890.00","11,930.65","11,705.60","200.86K","0.38%"
"Automobile","Bajaj Auto","10-10-2024","11,832.00","11,821.50","12,030.95","11,803.10","251.38K","0.12%"
"Automobile","Bajaj Auto","09-10-2024","11,818.10","11,944.00","11,988.80","11,802.00","193.88K","-0.60%"
"Automobile","Bajaj Auto","08-10-2024","11,889.10","11,585.00","11,936.85","11,562.20","359.43K","2.34%"
"Automobile","Bajaj Auto","07-10-2024","11,617.05","11,774.40","11,817.00","11,525.00","341.32K","-1.34%"
"Automobile","Bajaj Auto","04-10-2024","11,774.40","11,661.20","11,948.30","11,639.00","650.55K","-0.27%"
"Automobile","Bajaj Auto","03-10-2024","11,806.45","11,732.00","12,018.85","11,700.00","670.37K","-2.89%"
"Automobile","Bajaj Auto","01-10-2024","12,157.45","12,414.25","12,500.00","12,112.10","670.83K","-1.53%"
"Automobile","Bajaj Auto","30-09-2024","12,345.95","12,553.60","12,651.15","12,281.65","479.00K","-2.53%"
"Automobile","Bajaj Auto","27-09-2024","12,666.40","12,621.65","12,774.00","12,551.60","480.85K","0.35%"
"Automobile","Bajaj Auto","26-09-2024","12,621.65","12,460.00","12,676.50","12,391.05","641.81K","1.81%"
"Automobile","Bajaj Auto","25-09-2024","12,397.25","12,390.00","12,430.70","12,310.00","262.01K","-0.37%"
"Automobile","Bajaj Auto","24-09-2024","12,443.65","12,230.55","12,477.50","12,230.55","503.85K","0.85%"
"Automobile","Bajaj Auto","23-09-2024","12,338.95","12,000.00","12,380.00","12,000.00","735.58K","3.33%"
"Automobile","Bajaj Auto","20-09-2024","11,941.70","11,925.00","12,015.00","11,868.25","772.83K","0.62%"
"Automobile","Bajaj Auto","19-09-2024","11,868.00","11,811.20","12,040.25","11,811.20","500.63K","0.88%"
"Automobile","Bajaj Auto","18-09-2024","11,764.65","11,840.50","12,054.00","11,740.00","446.42K","-1.55%"
"Automobile","Bajaj Auto","17-09-2024","11,950.30","11,680.00","11,972.85","11,643.10","444.76K","2.24%"
"Automobile","Bajaj Auto","16-09-2024","11,688.35","11,734.00","11,751.80","11,640.05","172.60K","-0.42%"
"Automobile","Bajaj Auto","13-09-2024","11,737.15","11,723.50","11,893.95","11,688.40","417.88K","0.12%"
"Automobile","Bajaj Auto","12-09-2024","11,723.50","11,480.75","11,779.25","11,443.35","1.41M","2.65%"
"Automobile","Bajaj Auto","11-09-2024","11,420.75","11,067.75","11,501.30","10,986.60","1.28M","3.94%"
"Automobile","Bajaj Auto","10-09-2024","10,987.75","10,793.40","11,035.70","10,780.05","466.89K","1.29%"
"Automobile","Bajaj Auto","09-09-2024","10,847.60","10,830.10","10,902.40","10,780.00","193.06K","0.16%"
"Automobile","Bajaj Auto","06-09-2024","10,830.10","10,855.75","10,913.95","10,796.25","216.85K","-0.24%"
"Automobile","Bajaj Auto","05-09-2024","10,855.75","10,964.00","11,015.85","10,825.55","297.30K","-0.98%"
