"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","312.05","314.00","315.55","310.10","9.41M","-0.02%"
"14-11-2024","312.10","315.10","318.80","310.60","12.50M","-1.86%"
"13-11-2024","318.00","322.65","324.60","317.15","12.92M","-1.46%"
"12-11-2024","322.70","331.50","332.50","321.80","12.07M","-2.15%"
"11-11-2024","329.80","313.55","332.40","312.80","22.84M","4.28%"
"08-11-2024","316.25","311.85","317.55","308.70","15.74M","1.05%"
"07-11-2024","312.95","319.00","319.00","311.70","14.50M","-1.74%"
"06-11-2024","318.50","317.40","320.35","313.90","11.02M","0.60%"
"05-11-2024","316.60","312.35","317.70","312.00","7.52M","0.36%"
"04-11-2024","315.45","324.55","324.70","311.60","9.25M","-2.05%"
"01-11-2024","322.05","322.45","322.70","320.00","847.67K","0.39%"
"31-10-2024","320.80","320.40","322.70","317.85","9.90M","0.74%"
"30-10-2024","318.45","318.55","325.40","316.75","14.50M","-0.66%"
"29-10-2024","320.55","316.10","321.20","314.15","15.86M","0.71%"
"28-10-2024","318.30","314.50","320.45","310.75","9.61M","0.79%"
"25-10-2024","315.80","321.50","321.50","313.25","12.98M","-1.05%"
"24-10-2024","319.15","315.25","320.80","315.25","8.33M","0.71%"
"23-10-2024","316.90","319.20","321.90","313.85","12.54M","-1.81%"
"22-10-2024","322.75","332.90","335.65","321.05","11.22M","-2.54%"
"21-10-2024","331.15","333.00","333.75","329.45","8.75M","-0.27%"
"18-10-2024","332.05","331.50","333.85","328.25","10.57M","0.27%"
"17-10-2024","331.15","328.50","331.90","324.60","17.04M","1.21%"
"16-10-2024","327.20","331.70","332.65","324.95","22.09M","-0.80%"
"15-10-2024","329.85","333.45","333.45","327.50","12.42M","-0.26%"
"14-10-2024","330.70","330.05","331.50","327.80","5.94M","0.20%"
"11-10-2024","330.05","334.45","335.35","329.50","6.10M","-1.29%"
"10-10-2024","334.35","330.20","338.10","330.10","20.77M","1.39%"
"09-10-2024","329.75","327.00","331.80","325.50","9.23M","0.79%"
