"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2024","325.35","336.45","337.65","324.70","2.39M","-3.11%"
"14-11-2024","335.80","333.85","339.85","330.55","4.26M","1.28%"
"13-11-2024","331.55","345.20","346.90","328.50","3.92M","-4.59%"
"12-11-2024","347.50","348.70","353.55","345.85","5.71M","-0.34%"
"11-11-2024","348.70","329.00","350.80","326.00","22.07M","8.53%"
"08-11-2024","321.30","329.00","331.90","319.60","3.22M","-2.04%"
"07-11-2024","328.00","323.90","329.50","322.15","3.71M","1.60%"
"06-11-2024","322.85","318.05","324.80","315.70","2.18M","2.26%"
"05-11-2024","315.70","310.90","316.90","309.25","2.33M","1.54%"
"04-11-2024","310.90","317.50","317.50","306.10","3.98M","-2.17%"
"01-11-2024","317.80","316.20","318.90","315.40","536.69K","0.54%"
"31-10-2024","316.10","305.50","323.10","303.00","13.66M","-1.43%"
"30-10-2024","320.70","324.00","327.40","319.20","5.28M","-1.93%"
"29-10-2024","327.00","323.80","328.50","315.75","2.55M","1.00%"
"28-10-2024","323.75","313.95","325.75","313.25","1.99M","3.77%"
"25-10-2024","312.00","322.70","324.65","304.65","3.28M","-3.30%"
"24-10-2024","322.65","327.90","329.05","320.25","1.98M","-0.78%"
"23-10-2024","325.20","324.00","333.70","322.95","3.08M","-0.18%"
"22-10-2024","325.80","336.05","339.60","324.55","3.43M","-3.44%"
"21-10-2024","337.40","340.00","343.15","335.35","2.49M","-0.75%"
"18-10-2024","339.95","337.45","342.55","332.50","2.36M","0.27%"
"17-10-2024","339.05","348.40","348.45","337.65","1.77M","-2.19%"
"16-10-2024","346.65","351.85","353.40","343.15","1.55M","-1.58%"
"15-10-2024","352.20","347.00","353.35","346.35","2.05M","1.65%"
"14-10-2024","346.50","347.05","348.10","343.15","1.25M","0.10%"
"11-10-2024","346.15","345.90","349.30","344.45","1.21M","0.10%"
"10-10-2024","345.80","349.70","351.75","344.80","1.47M","-0.36%"
"09-10-2024","347.05","345.00","352.70","343.45","1.87M","1.27%"
"08-10-2024","342.70","339.50","345.35","335.95","2.95M","0.79%"
