"Category","Stock","Date","Price","Open","High","Low","Vol.","Change.."
"Tech","Tech Mahindra ","18-11-2024","1,660.80","1,684.75","1,688.00","1,633.25","1.62M","-1.58%"
"Tech","Tech Mahindra ","14-11-2024","1,687.50","1,663.00","1,692.00","1,663.00","1.92M","0.71%"
"Tech","Tech Mahindra ","13-11-2024","1,675.60","1,680.00","1,689.00","1,663.65","1.06M","-0.68%"
"Tech","Tech Mahindra ","12-11-2024","1,687.00","1,710.00","1,710.50","1,684.00","1.41M","-1.01%"
"Tech","Tech Mahindra ","11-11-2024","1,704.15","1,672.80","1,715.45","1,666.05","1.59M","1.36%"
"Tech","Tech Mahindra ","08-11-2024","1,681.35","1,660.00","1,686.45","1,650.05","1.88M","1.84%"
"Tech","Tech Mahindra ","07-11-2024","1,651.00","1,695.00","1,715.50","1,644.35","1.29M","-2.51%"
"Tech","Tech Mahindra ","06-11-2024","1,693.55","1,649.95","1,697.75","1,635.00","3.16M","3.73%"
"Tech","Tech Mahindra ","05-11-2024","1,632.65","1,638.30","1,654.00","1,623.80","1.38M","-0.35%"
"Tech","Tech Mahindra ","04-11-2024","1,638.40","1,614.00","1,640.25","1,608.05","2.75M","2.17%"
"Tech","Tech Mahindra ","01-11-2024","1,603.65","1,619.00","1,619.00","1,598.80","249.24K","-0.31%"
"Tech","Tech Mahindra ","31-10-2024","1,608.65","1,666.60","1,669.80","1,595.55","3.64M","-4.53%"
"Tech","Tech Mahindra ","30-10-2024","1,684.95","1,704.10","1,712.15","1,682.25","1.31M","-0.80%"
"Tech","Tech Mahindra ","29-10-2024","1,698.50","1,709.00","1,724.10","1,680.35","1.50M","-0.24%"
"Tech","Tech Mahindra ","28-10-2024","1,702.55","1,710.00","1,727.95","1,693.20","1.27M","-0.81%"
"Tech","Tech Mahindra ","25-10-2024","1,716.45","1,735.75","1,742.40","1,710.35","1.74M","-1.11%"
"Tech","Tech Mahindra ","24-10-2024","1,735.75","1,735.05","1,748.00","1,728.05","1.57M","-0.01%"
"Tech","Tech Mahindra ","23-10-2024","1,735.95","1,696.55","1,749.00","1,685.60","4.20M","2.32%"
"Tech","Tech Mahindra ","22-10-2024","1,696.55","1,703.40","1,726.95","1,691.45","2.48M","-0.27%"
"Tech","Tech Mahindra ","21-10-2024","1,701.20","1,745.00","1,761.85","1,690.05","5.90M","0.79%"
"Tech","Tech Mahindra ","18-10-2024","1,687.90","1,695.00","1,702.40","1,645.60","3.12M","-0.65%"
"Tech","Tech Mahindra ","17-10-2024","1,699.00","1,660.70","1,709.90","1,656.00","3.77M","2.33%"
"Tech","Tech Mahindra ","16-10-2024","1,660.30","1,670.00","1,677.45","1,652.80","1.07M","-0.90%"
"Tech","Tech Mahindra ","15-10-2024","1,675.35","1,700.00","1,703.45","1,663.50","2.50M","-1.01%"
"Tech","Tech Mahindra ","14-10-2024","1,692.50","1,648.00","1,697.00","1,648.00","2.07M","2.76%"
"Tech","Tech Mahindra ","11-10-2024","1,647.05","1,603.00","1,650.00","1,603.00","1.02M","1.69%"
"Tech","Tech Mahindra ","10-10-2024","1,619.70","1,673.00","1,675.95","1,611.35","1.52M","-2.36%"
"Tech","Tech Mahindra ","09-10-2024","1,658.80","1,639.00","1,669.80","1,632.05","2.18M","1.82%"
"Tech","Tech Mahindra ","08-10-2024","1,629.10","1,625.00","1,635.00","1,603.60","1.31M","0.65%"
"Tech","Tech Mahindra ","07-10-2024","1,618.55","1,624.95","1,632.05","1,600.20","1.62M","0.13%"
"Tech","Tech Mahindra ","04-10-2024","1,616.45","1,591.00","1,648.40","1,591.00","2.93M","0.77%"
"Tech","Tech Mahindra ","03-10-2024","1,604.05","1,615.00","1,631.15","1,596.15","2.33M","-1.31%"
"Tech","Tech Mahindra ","01-10-2024","1,625.40","1,580.00","1,642.90","1,580.00","5.18M","3.06%"
"Tech","Tech Mahindra ","30-09-2024","1,577.20","1,606.00","1,606.00","1,567.85","3.46M","-1.99%"
"Tech","Tech Mahindra ","27-09-2024","1,609.25","1,625.00","1,664.80","1,604.55","3.54M","0.14%"
"Tech","Tech Mahindra ","26-09-2024","1,606.95","1,610.00","1,619.85","1,596.00","2.17M","0.26%"
"Tech","Tech Mahindra ","25-09-2024","1,602.75","1,637.10","1,643.10","1,590.05","2.51M","-2.10%"
"Tech","Tech Mahindra ","24-09-2024","1,637.10","1,601.55","1,643.50","1,598.10","1.78M","1.86%"
"Tech","Tech Mahindra ","23-09-2024","1,607.15","1,624.95","1,631.00","1,594.50","1.54M","-0.92%"
"Tech","Tech Mahindra ","20-09-2024","1,622.05","1,608.00","1,629.30","1,582.40","3.98M","1.67%"
"Tech","Tech Mahindra ","19-09-2024","1,595.35","1,620.00","1,635.35","1,587.05","3.03M","-0.63%"
"Tech","Tech Mahindra ","18-09-2024","1,605.40","1,648.15","1,648.15","1,589.00","2.93M","-2.79%"
"Tech","Tech Mahindra ","17-09-2024","1,651.55","1,649.00","1,672.00","1,641.10","1.50M","0.15%"
"Tech","Tech Mahindra ","16-09-2024","1,649.00","1,651.10","1,670.00","1,646.50","1.06M","-0.43%"
"Tech","Tech Mahindra ","13-09-2024","1,656.05","1,649.90","1,659.90","1,638.00","1.37M","0.78%"
"Tech","Tech Mahindra ","12-09-2024","1,643.25","1,619.90","1,649.60","1,606.00","2.36M","2.54%"
"Tech","Tech Mahindra ","11-09-2024","1,602.60","1,612.00","1,627.00","1,598.10","1.40M","-0.30%"
"Tech","Tech Mahindra ","10-09-2024","1,607.40","1,592.00","1,613.70","1,578.50","2.54M","1.79%"
"Tech","Tech Mahindra ","09-09-2024","1,579.20","1,623.20","1,631.30","1,574.75","2.97M","-2.71%"
